Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20191012-144029,2019-10-12T18:46:51Z,Typical,No,None,0,No,No,No,2.9,1.2,4,0.4,0.2,30.7,1.5,1.4
Zica-20191012-144029,2019-10-12T21:39:22Z,Variant,No,None,0,No,No,No,5.6,1.3,10,0.7,0.3,36.6,1.2,1.8
Zica-20191012-144029,2019-10-13T03:18:12Z,Variant,No,None,0,No,No,No,2.2,1.2,2,0.5,0.1,30.1,1,0.8
Zica-20191012-144029,2019-10-13T05:32:07Z,Variant,No,None,0,No,No,No,5.7,1.4,6,0.8,0.3,25.7,0.9,1
Zica-20191012-144029,2019-10-13T11:14:32Z,Variant,No,None,0,No,No,No,2,1.3,1,0.5,0.1,14.3,0.9,2.7
Zica-20191012-144029,2019-10-13T13:12:13Z,Typical,No,None,0,Yes,No,No,3.8,1.6,6,0.4,0.2,32.4,1.3,1.6
Zica-20191012-144029,2019-10-13T17:03:06Z,Variant,No,136.5,145.9,No,No,No,19.1,1.4,28,1.4,1,39,1.3,0.6
Zica-20191012-144029,2019-10-14T12:07:16Z,Typical,No,None,0,No,No,No,3.7,1.2,9,0.6,0.2,21.7,1.2,1.1
Zica-20191012-144029,2019-10-14T15:52:10Z,Typical,No,None,0,No,No,No,3.8,1.4,7,0.4,0.2,35.6,1.5,1.3
Zica-20191012-144029,2019-10-14T19:37:45Z,Typical,No,None,0,No,No,No,3.7,1.5,7,0.3,0.2,36.6,1.7,1.6
Zica-20191012-144029,2019-10-14T23:16:59Z,Variant,No,None,0,No,No,No,2.8,1.2,6,0.3,0.3,27.9,1.6,3.5
Zica-20191012-144029,2019-10-15T02:04:23Z,Typical,No,None,0,No,No,No,2.3,1.2,3,0.3,0.2,26.5,1.7,2
Zica-20191012-144029,2019-10-15T04:20:37Z,Typical,No,None,0,No,No,No,3,1.1,4,0.5,0.3,29,1.7,2.7
Zica-20191012-144029,2019-10-15T07:19:13Z,Variant,No,None,0,No,No,No,4.6,1.4,1,0.2,1.6,58.5,1.4,3.1
Zica-20191012-144029,2019-10-15T11:55:02Z,Variant,No,None,0,No,No,No,1.5,0.8,2,0.4,0.3,15,0.7,5.9
Zica-20191012-144029,2019-10-15T13:24:34Z,Variant,No,None,0,No,No,No,3.3,0.9,7,0.4,0.2,19.2,0.9,3.9
Zica-20191012-144029,2019-10-15T16:40:00Z,Typical,No,None,0,No,No,No,2.3,1.1,4,0.3,0.2,30.7,1.1,3.5
Zica-20191012-144029,2019-10-15T19:00:27Z,Typical,No,106.4,117.2,No,No,No,2.7,1.2,5,0.4,0.2,37.4,1.5,3.2
Zica-20191012-144029,2019-10-15T21:44:03Z,Typical,No,None,0,No,No,No,3.4,1.2,6,0.4,0.2,28.9,1.5,3.6
Zica-20191012-144029,2019-10-16T01:05:08Z,Variant,No,None,0,No,No,No,2.8,1.3,3,0.8,0.1,30.9,1.6,2.8
Zica-20191012-144029,2019-10-16T03:52:56Z,Variant,No,None,0,No,No,No,3.5,1.1,2,0.8,0.5,25.8,1.6,2.9
Zica-20191012-144029,2019-10-16T07:20:53Z,Variant,No,None,0,No,No,No,1.7,1.4,1,0.1,0.2,24.5,1.8,3.5
Zica-20191012-144029,2019-10-16T09:03:12Z,Variant,No,None,0,No,No,No,2.3,1.7,1,0.4,0.2,20.4,1.8,2.1
