Whale ID,Dives with MFAS,MFAS RMS (Min.),MFAS RMS (Max.),MFAS RMS (Median),MFAS RMS (IQR),MFAS RMS (Mean),MFAS RMS (SD),MFAS cSEL (Min.),MFAS cSEL (Max.),MFAS cSEL (Median),MFAS cSEL (IQR),MFAS cSEL (Mean),MFAS cSEL (SD)
Zica-20191012-144029,2,106.4,136.5,121.4,15,121.4,21.3,117.2,145.9,131.6,14.4,131.6,20.3
Zica-20191012-145101,5,95.1,147.9,136,32.7,125.3,22.8,102.6,148.8,138.8,22.9,131.5,19.1
Zica-20191111-94810,4,97.5,141.2,111.7,23.3,115.5,19.6,108,137.2,118.1,18.6,120.3,13.7
Zica-20211112-94819,8,81.8,140.3,111.9,34,108.9,20.9,80.9,136.1,112.1,31.9,107.3,19.9
Zica-20211113-195993,2,107.9,118.2,113.1,5.1,113.1,7.3,115.6,125.7,120.7,5.1,120.7,7.1
Zica-20220112-195994,5,76.3,139,102.8,41.5,103,27,69.9,143.9,107.8,53.9,103.6,32.7
Zica-20230518-233391,3,104.4,120.9,120.7,8.2,115.3,9.5,112.2,129.4,126.7,8.6,122.8,9.3
Zica-20230519-232950,2,93.4,151.1,122.2,28.8,122.2,40.8,105.5,160.3,132.9,27.4,132.9,38.7
Zica-20230723-233394,7,88.5,123.8,121.2,9.1,114.8,13.2,91.5,135.2,121.8,14.4,119.7,15.1
Zica-20230723-233395,6,106.1,126.8,117.1,12.6,116.9,8.3,112.6,129.5,120.7,7.9,120.7,6.3
Zica-20240227-233396,7,105.3,150.3,119,28.2,126.9,18.1,112.3,155.8,123.4,33.1,131,18.9
Zica-20240227-240128,1,138.4,138.4,138.4,0,138.4,NA,141.2,141.2,141.2,0,141.2,NA
Total,52,76.3,151.1,119,20.2,116.7,18.8,69.9,160.3,121.3,21.7,120.7,19.9
